No.	Site Name	System	Distance	Series	Set	Text
0113	Alliance Assembly	Alioth	4,580 ls	Series 1	Elite History	The Alliance Assembly is the central body for the Alliance as a whole. While parallels can be drawn with the European Union in the 21st century, the Assembly lacks the law making powers of the EU. In main it functions as a means for establishing common policies and treaties rather than laws. / It also acts as an arbitration body between member states and depending on Assembly votes can enforce sanctions or corrective measures. However the politics of the member states often makes this a tricky process.
0114	Alliance Defence Force	Alioth	2,305 ls	Series 1	Elite History	Barring the small Alliance Defence Force for defending key components of the Alliance bureaucracy there is no central Alliance Navy to compare with the other major powers. Instead a headquarters organisation exists staffed by the Council of Admirals and their support staff. / The Alliance Defence Force is essentially a small rapid deployment force made up of ships from the member navies, and is maintained under the command of the Council of Admirals to respond to any crisis - humanitarian and military. / In an emergency additional forces would be provided by member navies if the Council of Admirals makes an emergency appeal to the Assembly.
0115	Alioth History	Alioth	1,238 ls	Series 1	Elite History	After the war between Achenar and the Federation concluded in 2380, the Federation looked to find new resources elsewhere. In 2398, the first of a new wave of colonial missions was sent to the outermost sectors in the opposite direction to the Empire and Lave. / Alioth was colonised in 2452. Survey data and reports had already indicated the rich resources of the system before settlement, but the resources proved richer than expected. / The first colonial settlement in the system was known as 'Fruitcake', the name given owing to the loamy consistency of the planetary surface and its propensity for small mineral deposits.
0116	Alliance Council Members	Alioth	4,836 ls	Series 1	Elite History	Each Alliance Member State has a number of Council Members within the Alliance Assembly, based on the size of their respective populations. Some only have one. The Prime Minister is elected by the Members, and it is his or her job to corral them into some sort of consensus; generally a slow process. There is much less tradition than in the other powers, and processes within the Alliance Assembly are still subject to change - generally when arguments break out, as they frequently do. In practice the Alliance is largely run by Civil Servants - salaried officials that look after day to day running of the Alliance, generally not getting involved in the political struggles. / The Alliance Defence Force is run by the six member Council of Admirals, independently from the Council of Members, but reporting to it after the event, to facilitate rapid decision-making. Each of the Admirals is from a key contributing Navy.
0117	Everichon Hijack	Alioth	12,657 ls	Series 1	Elite History	In 2559, the tourist liner Everichon, full of Imperial nobles, was hijacked by a Caker group who planned to crash it into one of the gas giants. The attempt was thwarted by Imperial commandoes. The holo-vid broadcast and subsequent fictional dramatisation 'Rebel Madness', went some way to diverting popular opinion from the insurrection.
0118	Tom Quaterson Death	Alioth	4,580 ls	Series 1	Elite History	Having smuggled weapons into the system, the tension between the Cakers and the authorities was always going to spill over eventually. In 2617, the death of Tom Quaterson, a munitions worker who had been convicted of selling food coupons to the poor, was the spark that lit the flame of revolt. Workers on the gas platforms seized control of the facilities and planetside, the general populace stormed the Governor's residence. / Quentin Deviseses wasn't just a revolutionary. He had a long term strategy for the system and as soon as the planet was secure, used every means he could to get the word out that Alioth would become a free trade port. / The resource implication of Alioth's independence was too much for either the Empire or the Federation to take.
0119	Caker Coup	Alioth	2,276 ls	Series 1	Elite History	In 2853, the science research outpost of Nesbitt Landing was founded. Initially this was to be a joint venture between the Empire and Federation, but when a detailed study into the genetic problems on New California linked the issue with the terraforming of the planet in 2612, the Imperials withdrew from the project. / The matter remained a local issue until, in 2854, responding to pressure from Achenar, Imperial soldiers instigated martial law and attempted to impose a genetic correction programme on the planet. This was precented by a coup against the military garrison by a new Caker sect. Within days, the planet had been secured and an appreal was sent to the Federation for assistance. / A fierce battle ensued; Imperial forces from the orbital refineries began a planetary bombardment, but the arrival of a Federal fleet escalated the conflict. Eventually, the Imperial ships pulled back and Admiral Kracer landed with his marines to cheering crowds in the capital. Kracer retired three years later, settling in New California and later became the colony leader.
0120	Riley Dain Murder	Alioth	4,689 ls	Series 1	Elite History	In 3184, the election of Federation President Loric Trander saw a renewal of hostilities over Alioth. This time, conflict was instigated by corporate rivalry in the system's vast gas mining sector. After the discovery of a murdered official named Riley Dain who was investigating the abuse of permitted quotas, the situation quickly escalated. Trander authorised a force off privateers. In response Hesketh Duval sent in the Imperial XV fleet. / The conflict avoided the settlement of New California, owing to the previous treaty, but the settlers there found themselves all but cut off until a further ceasefire was established in 3198. Neither side achieved anything but line the pockets of the industries who fuelled and powered their fleets. It also served to stir further resentment amongst the settlers. At this time, the Caker insurrection became more organised and received substantial financial support from unknown sources.
0121	Mic Turner History	Alioth	4,836 ls	Series 1	Elite History	Born in 3205, Mic Turner grew up in Jones Colony in the Essafa system. After graduating with honours from the civilian Pilots school, he moved to New California in Alioth, just before the rebellion started. / In 3228, when the Federal corporations supplying New California attempted to raise their prices again, the citizens revolted, taking over the ships berthed in the space station and riding out to the gas mining station to assault the corporate workers. Federal and Imperial forces arrived within days, but fighters from Alioth and several neighbouring independent systems joined forces to repel them. / Turner's pilot skills saw him amongst the first to fly out to the orbital platforms and he won a great deal of respect from his peers for his efforts. It was here the met Meredith Argent, a scientiest who led one of the Caker cells on the gas platforms and was direct descendant of Walter Argent, a wealthy industrial from Ayethi in the the 27th century. Argent and Turner were to become partners for life.
0122	Reorte Reclaimed	Reorte	7 ls	Series 1	Elite History	"After three weeks of fighting in the Lave Cluster, the Alliance Elite Diplomatic Corps (AEDC) managed to reclaim Reorte from a pirate insurgency. Early in April 3301, a local pirate group had tried to rename the cluster ""New Caribbean"", but undercover AEDC agents worked with local groups to retake control of Davies High."
